,Loan ID,Customer ID,Loan Status,Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
14,df74b788-89a8-4973-8413-0626eb7420f1,a77d71b6-d737-4068-b65c-d198f6b8b7ae,Fully Paid,444620.0,Short Term,710.0,1161185.0,10+ years,Rent,Debt Consolidation,21094.94,13.3,37.0,7.0,0.0,304722.0,525052.0,0.0,0.0
16,64194938-2229-4fb5-a086-b3835536a2cf,bd2bd391-b14c-497d-a19d-90499801d03d,Charged Off,267476.0,Long Term,698.0,1320025.0,10+ years,Rent,Debt Consolidation,6897.19,21.0,9.0,10.0,1.0,63992.0,349470.0,0.0,0.0
17,cf6adc51-f1c1-4df2-b980-135501fd1123,159f409a-e28b-4375-9214-b94d3f313426,Fully Paid,129184.0,Short Term,724.0,1174162.0,< 1 year,Rent,Business Loan,5048.11,12.0,300.0,9.0,0.0,186675.0,673376.0,0.0,0.0
18,516b546c-abe6-492d-b23b-99376d60364b,af0b001d-1fd5-4b0e-b315-feffa9e5a284,Fully Paid,224708.0,Short Term,737.0,1016899.0,0 years,Rent,Debt Consolidation,3084.65,11.1,300.0,6.0,1.0,100947.0,353144.0,1.0,0.0
19,5fbcfc39-1e5c-4946-8db5-631d2a49a051,cb629cff-8993-4cc6-8406-b6c7ed81e321,Fully Paid,358402.0,Short Term,741.0,957030.0,10+ years,Own Home,Debt Consolidation,7720.08,22.4,15.0,10.0,0.0,291764.0,439318.0,0.0,0.0
21,d629abd0-35dc-484b-8133-2459165d5392,41434be6-a618-489a-a9bc-79a9dc4468a0,Charged Off,273570.0,Short Term,732.0,673645.0,10+ years,Home Mortgage,Debt Consolidation,5518.36,20.8,300.0,6.0,0.0,240103.0,298628.0,0.0,0.0
23,69ac6edb-b4c1-433e-9929-6fa185bd20f6,f14ec824-6ee0-4d01-adf5-bbfc3b8ad648,Fully Paid,143594.0,Short Term,724.0,1174162.0,6 years,Rent,Other,28858.15,13.1,300.0,15.0,0.0,352108.0,627220.0,0.0,0.0
24,70e0a605-3784-46c9-adc7-d862dd64fbce,32338282-bc8b-4b18-a3aa-01d51e22ddb2,Fully Paid,32186.0,Short Term,717.0,1167683.0,8 years,Rent,Debt Consolidation,27440.37,18.4,23.0,16.0,0.0,100966.0,231946.0,0.0,0.0
25,32b34dc1-adf4-472d-8bb3-97ad1af7796d,d7dcdb04-d038-45d4-b514-ab459deedb21,Charged Off,105072.0,Short Term,709.0,897921.0,7 years,Rent,Debt Consolidation,8530.24,17.9,300.0,7.0,2.0,57855.0,97064.0,2.0,0.0
27,424f993d-cb42-47c8-a0c9-1baa9d12ff5f,41db97ba-07f9-4c18-a13d-64049e8d72fe,Fully Paid,450692.0,Short Term,721.0,1138518.0,10+ years,Home Mortgage,Debt Consolidation,9364.15,20.5,300.0,8.0,1.0,152361.0,420046.0,1.0,0.0
28,b6dccffb-c1b1-4be7-9c09-ff57ff9eb9fc,2adc97e5-0f95-476d-a1c5-1b668399b99e,Fully Paid,125664.0,Short Term,708.0,465785.0,1 year,Rent,Debt Consolidation,4153.4,13.8,300.0,4.0,0.0,146547.0,183458.0,0.0,0.0
29,27f5d644-4438-49c5-908d-161b5ede8d49,bb62d3c0-e478-4627-aaea-d035f297bd45,Fully Paid,151492.0,Short Term,747.0,1495224.0,2 years,Rent,Debt Consolidation,14204.59,12.9,24.0,16.0,0.0,118465.0,606914.0,0.0,0.0
30,a286b602-b9ad-40a7-8a28-85d69570043c,0f76a712-b95b-4755-ae88-bb8af88a894a,Fully Paid,219406.0,Short Term,724.0,1174162.0,2 years,Rent,Debt Consolidation,11520.84,13.9,20.0,11.0,0.0,147174.0,502700.0,0.0,0.0
31,6a4bb599-66e2-42a7-b28e-e5326b503eb9,41d5daad-b4e0-4eb5-95e5-ea7e89d4fa35,Fully Paid,326414.0,Short Term,738.0,1127574.0,2 years,Rent,Debt Consolidation,6521.18,28.4,27.0,5.0,0.0,116375.0,474496.0,0.0,0.0
33,b97bf814-6db3-4ab7-bdf0-5414d6500deb,b73af89d-8192-46b6-8801-62172e11a94e,Fully Paid,198418.0,Short Term,717.0,1314572.0,< 1 year,Home Mortgage,Debt Consolidation,27934.75,22.0,56.0,11.0,0.0,60306.0,332486.0,0.0,0.0
34,fa071b52-978f-4f4a-86c3-a891048ddeed,8b3a3c3d-b2a8-4f12-8466-a5b1174b277e,Fully Paid,66462.0,Short Term,700.0,1233271.0,1 year,Home Mortgage,Home Improvements,9886.65,24.7,13.0,7.0,0.0,43092.0,158400.0,0.0,0.0
35,b905a344-0cea-4f60-b096-3f352a751c91,52b86ff3-1e82-4798-9f36-2d7b6c01ea0a,Fully Paid,672826.0,Short Term,738.0,1299543.0,8 years,Home Mortgage,Debt Consolidation,22742.05,15.8,33.0,14.0,0.0,334001.0,582450.0,0.0,0.0
36,db76967c-8ff6-4ca9-b2c4-e7eb73cf0da2,c45b7b5a-2983-48b7-b3e5-c2e2cec6c456,Fully Paid,305866.0,Short Term,724.0,924578.0,7 years,Own Home,Debt Consolidation,21419.46,11.5,12.0,8.0,0.0,47310.0,192170.0,0.0,0.0
37,08072cab-559f-4135-946b-5e7954d8215f,5e815c57-e297-4356-9acd-efc734dba03e,Fully Paid,287452.0,Short Term,705.0,711569.0,2 years,Rent,Debt Consolidation,12274.57,21.0,25.0,11.0,0.0,52782.0,157520.0,0.0,0.0
38,c78b57df-cbb4-4334-b207-4f50caf7e36e,01508397-785f-42c3-95d1-52e272af9335,Fully Paid,295900.0,Short Term,696.0,757188.0,9 years,Rent,moving,7698.23,13.8,300.0,14.0,0.0,394516.0,1144880.0,0.0,0.0
39,dfa3561f-a575-4329-83b6-363ba2f2f294,94e76f77-d691-42a0-b4a4-df18ceacd9c3,Fully Paid,323774.0,Short Term,724.0,1174162.0,10+ years,Home Mortgage,Debt Consolidation,14042.71,25.2,62.0,6.0,1.0,152399.0,243760.0,1.0,0.0
40,967daff6-b87f-4b57-b583-fde640aa1456,e118e989-b274-44f1-8476-2b13ed5b43bd,Charged Off,266530.0,Long Term,724.0,1174162.0,0 years,Rent,Debt Consolidation,10022.5,17.0,300.0,12.0,0.0,279376.0,704770.0,0.0,0.0
41,6fb401bb-a11a-46d0-ab47-b488584c584f,8156ed23-5700-4450-a981-dcff4cf322ce,Fully Paid,329120.0,Long Term,715.0,1515896.0,5 years,Home Mortgage,Debt Consolidation,21601.48,13.0,300.0,19.0,0.0,332576.0,683980.0,0.0,0.0
43,df50b43b-f770-4e5a-b4f9-b1b0272b5e98,f0416a16-1983-471f-880d-9f2907188049,Fully Paid,177562.0,Short Term,725.0,748068.0,10+ years,Home Mortgage,Debt Consolidation,7667.64,13.1,300.0,8.0,1.0,68267.0,254958.0,1.0,0.0
45,1d6d78db-e752-4dea-945d-ad511f5b22c0,7f542735-f709-46ef-9dc7-b4a474384dc1,Fully Paid,157146.0,Short Term,742.0,1163256.0,10+ years,Home Mortgage,Debt Consolidation,5913.18,14.6,59.0,13.0,1.0,209722.0,468776.0,1.0,0.0
48,78437940-1636-4c68-a34d-77db8e5a3fdd,88364251-2935-44e9-895e-ef49a5d10594,Fully Paid,192478.0,Short Term,724.0,1174162.0,6 years,Rent,Debt Consolidation,15874.5,10.3,300.0,5.0,0.0,188727.0,291368.0,0.0,0.0
49,a7e6485d-07b3-459c-8827-d7b9f3d81569,5bdce3e5-12f9-4aa9-b275-81bc8983fbb6,Fully Paid,65472.0,Short Term,746.0,376922.0,2 years,Own Home,Debt Consolidation,565.44,15.9,300.0,4.0,0.0,39330.0,89474.0,0.0,0.0
50,898e9058-a89b-4dba-ade8-9dc9e764687b,dac0f039-1a46-43d8-88c1-e3bb296e840f,Fully Paid,142912.0,Short Term,720.0,1832075.0,5 years,Rent,Educational Expenses,2793.95,18.0,0.0,7.0,0.0,215992.0,1078000.0,,0.0
51,e56daf77-66b9-4319-9e4f-2e4ba44fa3ce,df1f5a34-1cc4-4488-8687-64fe7b72998f,Fully Paid,310200.0,Short Term,702.0,931000.0,10+ years,Rent,Debt Consolidation,20637.23,11.3,300.0,7.0,0.0,319124.0,404712.0,0.0,0.0
52,8303d92e-f63e-42cb-8aab-65bcaed94a82,d233e8ce-f6c8-4002-8dca-4f50e0413721,Fully Paid,356994.0,Long Term,698.0,1059839.0,< 1 year,Own Home,Other,7286.5,20.6,11.0,8.0,0.0,123538.0,481646.0,0.0,0.0
53,d134f322-dc95-43ac-89de-b4280cb5129e,f297ad36-ca5c-47cb-b8bb-6387456acff0,Fully Paid,435160.0,Long Term,724.0,1174162.0,5 years,Own Home,Other,24929.52,12.7,32.0,12.0,0.0,238146.0,799238.0,0.0,0.0
54,003e5752-8eb0-42f2-a6fb-eb03b9f3ce7b,b63ce348-07a8-4e4d-a230-5e85690e7b0a,Fully Paid,45298.0,Short Term,745.0,558828.0,2 years,Home Mortgage,Debt Consolidation,3352.93,18.4,300.0,14.0,0.0,30153.0,895378.0,0.0,0.0
55,c3e42ca7-947e-4e86-9ffd-c5759ce62b94,76ee78be-2410-4faf-abb0-fd5e67a28dac,Charged Off,112530.0,Short Term,719.0,582825.0,6 years,Home Mortgage,Debt Consolidation,14376.16,10.0,300.0,6.0,0.0,37886.0,164274.0,0.0,0.0
56,a376d7c0-8e1e-48f0-8545-08f59e497324,93f30c71-d07b-4eac-8f5c-5d4b79e8f4c6,Fully Paid,99044.0,Short Term,704.0,836798.0,10+ years,Rent,Debt Consolidation,10599.34,11.4,300.0,9.0,1.0,67279.0,169334.0,1.0,0.0
57,47fb8e6a-5308-4d33-aa46-e7af5e199e4c,0eb77c96-ce90-4e3d-9f45-bb40ebc80af9,Charged Off,608234.0,Short Term,724.0,1174162.0,4 years,Home Mortgage,Business Loan,12494.59,28.7,300.0,14.0,0.0,166269.0,899668.0,0.0,0.0
60,c1a2c1ac-87a9-46c0-8dba-97ddcb9b9126,061fd074-310e-4901-8b3a-afde2a1eb947,Fully Paid,462858.0,Long Term,719.0,911544.0,5 years,Rent,Debt Consolidation,18458.69,23.4,7.0,9.0,0.0,359081.0,655776.0,0.0,0.0
61,528361d5-3e90-4609-a758-4d34cab7a264,a3acbc15-3036-4867-abd9-5100c496babe,Fully Paid,32824.0,Short Term,743.0,604656.0,< 1 year,Rent,Other,5996.02,15.3,47.0,5.0,0.0,32737.0,83138.0,0.0,0.0
62,6f9677ee-10da-48cc-9a0c-9ec7f858b7e2,749aa15f-a6a7-4346-a161-0892ed4fae4e,Fully Paid,107866.0,Short Term,745.0,763895.0,< 1 year,Rent,Debt Consolidation,7575.11,12.0,300.0,18.0,0.0,61180.0,313478.0,0.0,0.0
64,964e8cda-ad11-44dd-aa4f-affbcb4e65c7,3f348ff1-f3a2-47c2-ae8d-bcfd9318de0b,Fully Paid,177254.0,Short Term,707.0,803662.0,7 years,Rent,Debt Consolidation,7520.96,12.5,54.0,10.0,0.0,68514.0,145860.0,0.0,0.0
65,17615fac-08b8-4869-a680-0679f8561c7a,35ff6e9f-a134-4622-adb1-e03f11ce7288,Charged Off,131824.0,Short Term,702.0,793687.0,1 year,Rent,Debt Consolidation,8995.17,9.5,300.0,15.0,0.0,367042.0,717904.0,0.0,0.0
66,0a07e209-fe6a-4009-ac1d-4a4e395e4cc1,f236ad61-19b6-4015-9ab7-466e53d7b230,Fully Paid,657052.0,Short Term,718.0,1182598.0,4 years,Home Mortgage,Debt Consolidation,13994.07,16.0,300.0,9.0,0.0,318402.0,496870.0,0.0,0.0
68,890d6f6e-1d71-4847-8ee4-560ad097347f,882cace8-bc45-4fc0-90bb-7d1e592893e3,Charged Off,355124.0,Short Term,724.0,1174162.0,10+ years,Home Mortgage,Business Loan,8309.84,22.8,300.0,12.0,0.0,107920.0,396704.0,0.0,0.0
69,e54243a5-5c9a-442c-a8e6-e2a26687d9f9,d862d3e1-39c5-4c27-ae0b-013d440d8bf2,Fully Paid,232694.0,Short Term,724.0,836589.0,< 1 year,Rent,Debt Consolidation,15407.1,12.9,300.0,10.0,0.0,238165.0,494230.0,0.0,0.0
70,55a00504-a957-4ebd-9834-1470d360d5db,37e628ce-0032-4304-b487-75a2b30fed38,Fully Paid,262856.0,Long Term,724.0,1174162.0,5 years,Home Mortgage,Business Loan,10103.25,18.7,300.0,7.0,1.0,120954.0,179542.0,1.0,0.0
71,bcfa0d70-6415-497a-8d81-33472a26b1d5,d3cb6f35-607e-4a6a-85b2-f09353d8b1c0,Fully Paid,71676.0,Short Term,724.0,1174162.0,< 1 year,Rent,Debt Consolidation,7931.74,8.1,300.0,10.0,0.0,34295.0,409442.0,0.0,0.0
72,5f30b633-a177-4cd1-8ae8-81ed2527285b,a2df5de5-f813-4e01-b02a-e0cf95b7e5ab,Charged Off,306768.0,Short Term,740.0,1797780.0,7 years,Own Home,Debt Consolidation,26217.72,17.0,34.0,18.0,0.0,251180.0,798996.0,0.0,0.0
73,b17d4708-8f51-4297-989f-e1c11563919d,7e30498f-0593-4e71-99ed-5fd7d06ea8a2,Fully Paid,316030.0,Long Term,692.0,1091759.0,3 years,Rent,Debt Consolidation,25747.09,12.0,300.0,9.0,0.0,502075.0,980364.0,0.0,0.0
74,d440525b-986e-4cd7-a62f-32c328cab94f,ff29f2b6-eb38-4334-9310-013ebd795653,Fully Paid,467764.0,Long Term,716.0,964155.0,1 year,Own Home,Debt Consolidation,21371.96,16.0,300.0,6.0,0.0,527915.0,879516.0,0.0,0.0
75,8d1401d5-55da-4076-89bc-8c77cde8079a,ea738916-38e1-4398-9384-9157dc139c74,Charged Off,246972.0,Long Term,724.0,1174162.0,10+ years,Rent,Debt Consolidation,20160.9,11.2,55.0,10.0,0.0,124393.0,276474.0,0.0,0.0
76,816badbc-db59-49d8-96f5-3713dc2e1fcb,76fedbe2-d39b-4880-9d1b-6aef495c9ebb,Fully Paid,631576.0,Short Term,709.0,1609832.0,3 years,Rent,Debt Consolidation,13549.47,9.5,22.0,13.0,0.0,175731.0,788700.0,0.0,0.0
77,fd073bae-56cf-4840-bee0-b5368333656d,c03e3015-b946-4a3e-b628-682c1da44d1a,Fully Paid,125356.0,Short Term,716.0,360886.0,0 years,Own Home,Debt Consolidation,10044.73,12.5,29.0,5.0,0.0,66937.0,79178.0,0.0,0.0
79,fdc06182-95ea-4fb4-921a-d86a50f5db81,7988691d-e14c-47cb-8340-847107584b1c,Charged Off,554400.0,Long Term,724.0,1174162.0,10+ years,Home Mortgage,Debt Consolidation,14383.95,28.1,300.0,8.0,0.0,166782.0,854458.0,0.0,0.0
80,cad8e8d6-8c15-4808-984d-0507b89e6a61,13482586-976c-490a-8211-0b7a6df786ea,Fully Paid,178706.0,Short Term,724.0,1174162.0,3 years,Home Mortgage,Buy a Car,5802.22,10.0,300.0,12.0,0.0,5586.0,497266.0,0.0,0.0
81,161e7db7-127c-4472-b0e6-e832c926f8f1,e8137bb8-b7e5-4d1e-9ad1-4dfc7a0cb71d,Fully Paid,61842.0,Short Term,724.0,1174162.0,3 years,Rent,Take a Trip,13960.63,15.9,35.0,7.0,0.0,43396.0,101530.0,0.0,0.0
82,f6a764af-4059-472a-9e2d-48e0e8792ef2,9aebf489-acbf-4419-bb6e-496235403cc2,Fully Paid,134596.0,Short Term,742.0,1094647.0,4 years,Rent,Debt Consolidation,6896.24,10.6,300.0,4.0,0.0,300029.0,392546.0,0.0,0.0
85,7483c383-9894-45b6-a35d-bb94386a3f35,2e2c33d9-8414-4c49-8d6e-52eb8c51f20d,Fully Paid,56056.0,Short Term,740.0,929423.0,7 years,Home Mortgage,Debt Consolidation,23313.0,14.0,13.0,10.0,0.0,50255.0,148038.0,0.0,0.0
86,4564d47a-e023-4ecf-817d-fa9cf37c97c5,7dbd8885-0b20-41bc-bd31-01b62e859422,Fully Paid,405218.0,Long Term,695.0,1224892.0,8 years,Rent,Debt Consolidation,18067.1,8.1,300.0,11.0,0.0,272422.0,353650.0,0.0,0.0
87,47c3a5cd-8819-4186-b8f5-523f57254303,2a14b283-f19b-4f86-89f0-8ffcab5a55e2,Fully Paid,134354.0,Short Term,705.0,1059991.0,0 years,Home Mortgage,Other,8612.32,18.3,25.0,9.0,1.0,272194.0,521818.0,1.0,0.0
88,5b8c8c04-7b18-45c3-9cf3-242f49c3cce5,3f9060eb-cecd-4b75-9e0b-698d0987cec2,Fully Paid,181236.0,Short Term,745.0,470022.0,9 years,Own Home,Debt Consolidation,6462.66,15.9,300.0,15.0,0.0,129789.0,1147124.0,0.0,0.0
89,ec26ac14-7f10-4375-b423-34a56d5e6be7,e141c6ee-f9d2-400e-a503-dad78a004d8c,Fully Paid,78540.0,Short Term,694.0,644898.0,6 years,Rent,Debt Consolidation,6341.44,7.9,300.0,6.0,0.0,47272.0,74052.0,0.0,0.0
90,1e920fef-34c9-45cb-b8b0-7d50720e2661,fdb0aa7a-b7af-4c09-85c0-e11f29739764,Charged Off,183084.0,Short Term,724.0,1174162.0,7 years,Home Mortgage,Business Loan,20494.92,18.7,7.0,7.0,0.0,364192.0,445302.0,0.0,0.0
91,c4a24b54-d563-4f63-87e0-545b03140b4d,17c88853-b9da-4a56-9830-5239ba84d24b,Fully Paid,214786.0,Short Term,722.0,851751.0,9 years,Rent,Debt Consolidation,9937.19,13.8,300.0,7.0,0.0,102657.0,190806.0,0.0,0.0
92,9905ea12-8496-45da-a540-2d5b0cd6d8ca,baf49ba8-d849-4f2d-87da-e1fb29f5a2f6,Charged Off,379632.0,Long Term,738.0,829825.0,< 1 year,Home Mortgage,Home Improvements,21990.41,16.0,300.0,12.0,0.0,238868.0,970486.0,0.0,0.0
93,2a588744-275d-4650-a7c1-0d26da67017c,e5773517-c201-49e4-87c2-fe0deb140abe,Fully Paid,542586.0,Long Term,724.0,1174162.0,10+ years,Home Mortgage,Debt Consolidation,30153.57,18.5,300.0,19.0,0.0,546307.0,1084996.0,0.0,0.0
94,073ee550-b363-45e8-bd7f-f3cf5560932f,ec22a3f0-5226-4e40-afd9-f5a79c1372be,Fully Paid,140448.0,Short Term,707.0,682290.0,1 year,Rent,Debt Consolidation,14043.85,12.1,300.0,9.0,0.0,139916.0,182424.0,0.0,0.0
95,51986343-1800-466d-adf9-e89271b8caff,64c6b07b-c8d7-47a2-bd19-4a698e6d0863,Fully Paid,360052.0,Short Term,719.0,721582.0,10+ years,Home Mortgage,Debt Consolidation,13529.71,17.0,300.0,6.0,0.0,354730.0,416130.0,0.0,0.0
96,4027fffa-7362-4bac-91d5-ea5f6544eee6,b5374c0c-b0e7-4db9-aeab-3286f4324a4a,Fully Paid,653114.0,Long Term,739.0,1575480.0,4 years,Rent,Debt Consolidation,30852.96,16.0,300.0,12.0,0.0,340917.0,1041568.0,0.0,0.0
97,ba161d28-c8ba-46de-be77-1eb732b78e4f,c322611d-f268-4a44-82a6-8eec45ae92fa,Fully Paid,222530.0,Short Term,690.0,595783.0,0 years,Own Home,Debt Consolidation,17327.05,19.5,300.0,9.0,0.0,385757.0,685058.0,0.0,0.0
99,372db0c1-1655-477a-a8ca-81ca18a8cb95,1618769c-6ac3-40cd-af03-8717573b05ac,Fully Paid,216458.0,Short Term,731.0,623143.0,3 years,Rent,Debt Consolidation,18174.83,10.6,67.0,11.0,0.0,205105.0,275198.0,0.0,0.0
101,04af5b4b-59bf-4560-99d6-7c25a0639267,037631a6-7965-44da-b058-c7f67034c5c8,Charged Off,107404.0,Short Term,742.0,545699.0,10+ years,Rent,Debt Consolidation,11050.4,14.9,300.0,6.0,0.0,148960.0,195338.0,0.0,0.0
102,71029428-624d-47e8-a6b4-383055a99092,8444a843-e2f3-4af1-b9db-6f1f71892079,Charged Off,225544.0,Short Term,724.0,1174162.0,5 years,Rent,Debt Consolidation,3074.58,15.1,300.0,6.0,0.0,68666.0,183634.0,0.0,0.0
103,8bdea942-3014-4bc6-a9e4-587875088c98,0c0e6236-c413-41e9-beac-b6840f33abc8,Fully Paid,331144.0,Short Term,751.0,1388938.0,2 years,Home Mortgage,Debt Consolidation,15139.39,31.6,300.0,14.0,0.0,414808.0,1191806.0,0.0,0.0
104,8c4f4203-1d06-4094-a644-4ca1d6ad7ae4,02fef13b-e865-41b7-92b6-e5c89b5d3941,Fully Paid,193710.0,Short Term,730.0,743508.0,2 years,Rent,Debt Consolidation,3884.74,10.5,300.0,9.0,0.0,117021.0,221760.0,0.0,0.0
105,2b50a72d-f03c-473e-8195-03c3007786e9,dab434af-2b92-44ca-aede-780c4351f2a1,Fully Paid,185416.0,Short Term,704.0,1258142.0,10+ years,Home Mortgage,Other,20109.22,15.7,29.0,9.0,0.0,107730.0,220770.0,0.0,0.0
106,abe1756d-ea82-4746-bcfe-da78b208768b,2bbf53a8-2cdb-4d4b-ba21-3c0ccd1b6ef8,Fully Paid,345730.0,Long Term,724.0,1626951.0,6 years,Home Mortgage,Debt Consolidation,17896.48,19.6,300.0,14.0,0.0,236227.0,303578.0,0.0,0.0
107,b823e32c-f9e9-4355-9180-3eaaad39ed17,bc8316fc-87be-4310-9a14-506bdb95f155,Fully Paid,216304.0,Short Term,686.0,1307656.0,10+ years,Rent,Debt Consolidation,11790.83,11.1,300.0,4.0,0.0,155325.0,237908.0,0.0,0.0
108,95a3fc36-2d5d-4b0e-8c2d-b69b92ee6053,198413cb-de80-47bf-a53b-d3ed2451db12,Fully Paid,436040.0,Short Term,711.0,1152768.0,2 years,Rent,Debt Consolidation,17195.38,12.8,300.0,8.0,0.0,112765.0,357698.0,0.0,0.0
109,3ed57848-2222-4644-9063-27e2c72a3171,f68b7e45-1cf4-477c-95ad-d3152febcf60,Fully Paid,344300.0,Short Term,697.0,1022124.0,2 years,Home Mortgage,Debt Consolidation,9369.47,15.0,27.0,9.0,0.0,195700.0,275352.0,0.0,0.0
111,ed055a45-8724-44e3-9941-f571015e2c4a,19af16fc-b2b2-44dd-8ce3-c5556b419d65,Fully Paid,216568.0,Long Term,709.0,1140912.0,5 years,Home Mortgage,Debt Consolidation,7073.7,18.7,9.0,16.0,0.0,142880.0,1033978.0,0.0,0.0
112,46c975bb-011d-4c8f-8840-8cf91c02c52c,7d886300-514e-42ab-9d39-3859677eb3ec,Charged Off,447260.0,Long Term,739.0,1641657.0,6 years,Rent,Debt Consolidation,28646.68,15.5,300.0,10.0,0.0,167181.0,620444.0,0.0,0.0
113,058415d7-a978-4361-a8bb-232639e8a6ba,0f90b7e5-6330-49a5-ab79-2b91aea1d7f7,Fully Paid,177320.0,Short Term,721.0,1033695.0,9 years,Home Mortgage,Debt Consolidation,14127.26,15.3,6.0,12.0,0.0,160588.0,461384.0,0.0,0.0
114,426809d5-0457-4f19-b495-71bc7c8052a1,23466223-2d9f-4a17-9df0-16c4cbc75c21,Charged Off,118272.0,Short Term,724.0,1174162.0,5 years,Rent,Debt Consolidation,12149.74,15.0,83.0,9.0,0.0,113658.0,290532.0,0.0,0.0
115,bd47fee8-9a4b-45da-8dd7-501b09514ba7,977136bd-890f-4f00-b8a8-58fa7ec62ead,Fully Paid,99396.0,Short Term,724.0,1174162.0,6 years,Home Mortgage,Home Improvements,5290.74,18.5,300.0,8.0,1.0,165908.0,203280.0,1.0,0.0
116,5123981b-6b2a-4511-8a92-bb397ee4dcf4,8033ccdd-c0ee-4b25-a919-b602378adb75,Fully Paid,468512.0,Short Term,750.0,1156074.0,10+ years,Home Mortgage,Debt Consolidation,15029.0,13.2,300.0,9.0,0.0,509238.0,1215742.0,0.0,0.0
117,02f7bc70-cb28-4ded-b627-dba888b4f057,badf5501-05b8-4454-877b-6ec3c7dfe23e,Fully Paid,347028.0,Short Term,747.0,1545517.0,10+ years,Home Mortgage,Debt Consolidation,33357.16,20.4,300.0,9.0,0.0,229482.0,442134.0,0.0,0.0
118,2855acc7-8d90-4240-9601-f771c5b4a60d,1c270573-6282-41f3-b10f-dbc7771c3be1,Fully Paid,214896.0,Short Term,724.0,1174162.0,10+ years,Home Mortgage,Debt Consolidation,15515.4,19.2,60.0,9.0,0.0,106780.0,251284.0,0.0,0.0
