,Loan ID,Customer ID,Loan Status,Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
16,f4324cf2-b623-4a27-ba47-d8b964da05ee,e56c4361-f2cb-4014-84ca-5536b805d53b,Charged Off,143000.0,Short Term,724.0,1174162.0,0 years,Rent,Debt Consolidation,12843.05,8.2,300.0,8.0,0.0,105526.0,151976.0,0.0,0.0
17,dc413932-5a3f-4cec-8c88-bf5f1473c1bd,ca61d22d-13e2-4ebe-a41d-5452d6673d7e,Fully Paid,110880.0,Short Term,721.0,1570312.0,10+ years,Home Mortgage,Debt Consolidation,5247.42,32.4,24.0,9.0,0.0,95532.0,148500.0,0.0,0.0
18,119fdf54-aec3-40c7-b8c2-af23865cdf9a,9efa1b75-55b4-4c6a-b239-7f61aa0c848f,Fully Paid,247456.0,Short Term,744.0,932520.0,7 years,Rent,Debt Consolidation,15930.55,9.6,300.0,13.0,1.0,151316.0,310662.0,1.0,0.0
20,5f307961-5a19-47f3-9838-7ef967bbaa35,2bc3bf0f-2864-4a59-8371-19c36ab3a4fd,Charged Off,109692.0,Short Term,724.0,1174162.0,< 1 year,Home Mortgage,Home Improvements,7367.06,12.5,300.0,12.0,2.0,40926.0,148544.0,2.0,0.0
21,df74b788-89a8-4973-8413-0626eb7420f1,a77d71b6-d737-4068-b65c-d198f6b8b7ae,Fully Paid,444620.0,Short Term,710.0,1161185.0,10+ years,Rent,Debt Consolidation,21094.94,13.3,37.0,7.0,0.0,304722.0,525052.0,0.0,0.0
23,62d76f19-c090-49a7-ac71-697019e9b9ac,536239e3-dcbe-41b7-8cca-fadf9bb635d5,Charged Off,349646.0,Long Term,683.0,1132362.0,1 year,Rent,Debt Consolidation,6379.06,16.3,38.0,7.0,0.0,251769.0,354200.0,0.0,0.0
24,64194938-2229-4fb5-a086-b3835536a2cf,bd2bd391-b14c-497d-a19d-90499801d03d,Charged Off,267476.0,Long Term,698.0,1320025.0,10+ years,Rent,Debt Consolidation,6897.19,21.0,9.0,10.0,1.0,63992.0,349470.0,0.0,0.0
28,cf6adc51-f1c1-4df2-b980-135501fd1123,159f409a-e28b-4375-9214-b94d3f313426,Fully Paid,129184.0,Short Term,724.0,1174162.0,< 1 year,Rent,Business Loan,5048.11,12.0,300.0,9.0,0.0,186675.0,673376.0,0.0,0.0
29,516b546c-abe6-492d-b23b-99376d60364b,af0b001d-1fd5-4b0e-b315-feffa9e5a284,Fully Paid,224708.0,Short Term,737.0,1016899.0,0 years,Rent,Debt Consolidation,3084.65,11.1,300.0,6.0,1.0,100947.0,353144.0,1.0,0.0
31,5fbcfc39-1e5c-4946-8db5-631d2a49a051,cb629cff-8993-4cc6-8406-b6c7ed81e321,Fully Paid,358402.0,Short Term,741.0,957030.0,10+ years,Own Home,Debt Consolidation,7720.08,22.4,15.0,10.0,0.0,291764.0,439318.0,0.0,0.0
32,3f23e049-449c-4453-bf20-515f2e64d1dd,dbb83112-4bba-4954-b3fc-b651644b22b3,Fully Paid,180268.0,Short Term,724.0,1174162.0,1 year,Own Home,Debt Consolidation,22081.99,33.1,300.0,17.0,0.0,483550.0,1211936.0,0.0,0.0
33,d629abd0-35dc-484b-8133-2459165d5392,41434be6-a618-489a-a9bc-79a9dc4468a0,Charged Off,273570.0,Short Term,732.0,673645.0,10+ years,Home Mortgage,Debt Consolidation,5518.36,20.8,300.0,6.0,0.0,240103.0,298628.0,0.0,0.0
35,5fb6c0e7-fe31-486c-88a3-5bed5d156047,88dadec0-d679-4eb9-9e35-7847f02bdbf9,Fully Paid,174636.0,Short Term,706.0,1055697.0,9 years,Home Mortgage,Debt Consolidation,29999.48,14.4,300.0,12.0,0.0,627399.0,744326.0,0.0,0.0
36,69ac6edb-b4c1-433e-9929-6fa185bd20f6,f14ec824-6ee0-4d01-adf5-bbfc3b8ad648,Fully Paid,143594.0,Short Term,724.0,1174162.0,6 years,Rent,Other,28858.15,13.1,300.0,15.0,0.0,352108.0,627220.0,0.0,0.0
39,70e0a605-3784-46c9-adc7-d862dd64fbce,32338282-bc8b-4b18-a3aa-01d51e22ddb2,Fully Paid,32186.0,Short Term,717.0,1167683.0,8 years,Rent,Debt Consolidation,27440.37,18.4,23.0,16.0,0.0,100966.0,231946.0,0.0,0.0
40,32b34dc1-adf4-472d-8bb3-97ad1af7796d,d7dcdb04-d038-45d4-b514-ab459deedb21,Charged Off,105072.0,Short Term,709.0,897921.0,7 years,Rent,Debt Consolidation,8530.24,17.9,300.0,7.0,2.0,57855.0,97064.0,2.0,0.0
41,ca1045e0-480f-440c-b71b-4c2f1ff69127,fbaec00b-a0a5-455a-be3b-5ae26853290a,Charged Off,355344.0,Long Term,676.0,700340.0,4 years,Rent,Debt Consolidation,15582.66,18.2,43.0,6.0,0.0,352830.0,517792.0,0.0,0.0
43,424f993d-cb42-47c8-a0c9-1baa9d12ff5f,41db97ba-07f9-4c18-a13d-64049e8d72fe,Fully Paid,450692.0,Short Term,721.0,1138518.0,10+ years,Home Mortgage,Debt Consolidation,9364.15,20.5,300.0,8.0,1.0,152361.0,420046.0,1.0,0.0
44,b6dccffb-c1b1-4be7-9c09-ff57ff9eb9fc,2adc97e5-0f95-476d-a1c5-1b668399b99e,Fully Paid,125664.0,Short Term,708.0,465785.0,1 year,Rent,Debt Consolidation,4153.4,13.8,300.0,4.0,0.0,146547.0,183458.0,0.0,0.0
45,27f5d644-4438-49c5-908d-161b5ede8d49,bb62d3c0-e478-4627-aaea-d035f297bd45,Fully Paid,151492.0,Short Term,747.0,1495224.0,2 years,Rent,Debt Consolidation,14204.59,12.9,24.0,16.0,0.0,118465.0,606914.0,0.0,0.0
46,a286b602-b9ad-40a7-8a28-85d69570043c,0f76a712-b95b-4755-ae88-bb8af88a894a,Fully Paid,219406.0,Short Term,724.0,1174162.0,2 years,Rent,Debt Consolidation,11520.84,13.9,20.0,11.0,0.0,147174.0,502700.0,0.0,0.0
48,6a4bb599-66e2-42a7-b28e-e5326b503eb9,41d5daad-b4e0-4eb5-95e5-ea7e89d4fa35,Fully Paid,326414.0,Short Term,738.0,1127574.0,2 years,Rent,Debt Consolidation,6521.18,28.4,27.0,5.0,0.0,116375.0,474496.0,0.0,0.0
49,d781bd47-eba2-4bd1-a3ab-dd6a2ebc27f8,be62b9f3-324c-4034-bbbd-1989f8bc6fa9,Fully Paid,531960.0,Short Term,724.0,1174162.0,4 years,Home Mortgage,Debt Consolidation,26549.08,24.5,45.0,8.0,0.0,713792.0,953282.0,0.0,0.0
50,b97bf814-6db3-4ab7-bdf0-5414d6500deb,b73af89d-8192-46b6-8801-62172e11a94e,Fully Paid,198418.0,Short Term,717.0,1314572.0,< 1 year,Home Mortgage,Debt Consolidation,27934.75,22.0,56.0,11.0,0.0,60306.0,332486.0,0.0,0.0
51,fa071b52-978f-4f4a-86c3-a891048ddeed,8b3a3c3d-b2a8-4f12-8466-a5b1174b277e,Fully Paid,66462.0,Short Term,700.0,1233271.0,1 year,Home Mortgage,Home Improvements,9886.65,24.7,13.0,7.0,0.0,43092.0,158400.0,0.0,0.0
54,b905a344-0cea-4f60-b096-3f352a751c91,52b86ff3-1e82-4798-9f36-2d7b6c01ea0a,Fully Paid,672826.0,Short Term,738.0,1299543.0,8 years,Home Mortgage,Debt Consolidation,22742.05,15.8,33.0,14.0,0.0,334001.0,582450.0,0.0,0.0
55,db76967c-8ff6-4ca9-b2c4-e7eb73cf0da2,c45b7b5a-2983-48b7-b3e5-c2e2cec6c456,Fully Paid,305866.0,Short Term,724.0,924578.0,7 years,Own Home,Debt Consolidation,21419.46,11.5,12.0,8.0,0.0,47310.0,192170.0,0.0,0.0
56,08072cab-559f-4135-946b-5e7954d8215f,5e815c57-e297-4356-9acd-efc734dba03e,Fully Paid,287452.0,Short Term,705.0,711569.0,2 years,Rent,Debt Consolidation,12274.57,21.0,25.0,11.0,0.0,52782.0,157520.0,0.0,0.0
57,c78b57df-cbb4-4334-b207-4f50caf7e36e,01508397-785f-42c3-95d1-52e272af9335,Fully Paid,295900.0,Short Term,696.0,757188.0,9 years,Rent,moving,7698.23,13.8,300.0,14.0,0.0,394516.0,1144880.0,0.0,0.0
60,dfa3561f-a575-4329-83b6-363ba2f2f294,94e76f77-d691-42a0-b4a4-df18ceacd9c3,Fully Paid,323774.0,Short Term,724.0,1174162.0,10+ years,Home Mortgage,Debt Consolidation,14042.71,25.2,62.0,6.0,1.0,152399.0,243760.0,1.0,0.0
61,967daff6-b87f-4b57-b583-fde640aa1456,e118e989-b274-44f1-8476-2b13ed5b43bd,Charged Off,266530.0,Long Term,724.0,1174162.0,0 years,Rent,Debt Consolidation,10022.5,17.0,300.0,12.0,0.0,279376.0,704770.0,0.0,0.0
62,6fb401bb-a11a-46d0-ab47-b488584c584f,8156ed23-5700-4450-a981-dcff4cf322ce,Fully Paid,329120.0,Long Term,715.0,1515896.0,5 years,Home Mortgage,Debt Consolidation,21601.48,13.0,300.0,19.0,0.0,332576.0,683980.0,0.0,0.0
63,35230b8c-8340-499c-aeea-0c0960d0c290,4e6b0d6b-1324-4801-9602-28eed500b8ed,Fully Paid,356862.0,Long Term,748.0,1494312.0,10+ years,Home Mortgage,Debt Consolidation,10223.52,23.2,300.0,8.0,0.0,519821.0,1346510.0,0.0,0.0
64,df50b43b-f770-4e5a-b4f9-b1b0272b5e98,f0416a16-1983-471f-880d-9f2907188049,Fully Paid,177562.0,Short Term,725.0,748068.0,10+ years,Home Mortgage,Debt Consolidation,7667.64,13.1,300.0,8.0,1.0,68267.0,254958.0,1.0,0.0
65,01ed8304-4b00-471c-9db2-f07e33c006c0,ea61ff9e-017e-46e8-a965-af0aa5beee0c,Fully Paid,346148.0,Short Term,746.0,2242152.0,5 years,Home Mortgage,Home Improvements,23355.75,18.7,300.0,8.0,0.0,234061.0,752818.0,0.0,0.0
66,1d6d78db-e752-4dea-945d-ad511f5b22c0,7f542735-f709-46ef-9dc7-b4a474384dc1,Fully Paid,157146.0,Short Term,742.0,1163256.0,10+ years,Home Mortgage,Debt Consolidation,5913.18,14.6,59.0,13.0,1.0,209722.0,468776.0,1.0,0.0
68,ce8df093-a7a5-4f38-8940-e40dd303e662,cc31c2d4-3ac5-42b8-922e-ba2a0a0cda73,Charged Off,777480.0,Short Term,700.0,1400452.0,2 years,Own Home,Debt Consolidation,14238.03,12.8,300.0,7.0,0.0,263872.0,375364.0,0.0,0.0
69,9e6d21de-1547-473e-bd70-433e13a273fe,7eb82c62-ec89-482a-ad66-13e11b7a5634,Fully Paid,330440.0,Long Term,721.0,1405924.0,8 years,Home Mortgage,Debt Consolidation,13121.97,16.8,24.0,23.0,0.0,289769.0,628298.0,0.0,0.0
72,78437940-1636-4c68-a34d-77db8e5a3fdd,88364251-2935-44e9-895e-ef49a5d10594,Fully Paid,192478.0,Short Term,724.0,1174162.0,6 years,Rent,Debt Consolidation,15874.5,10.3,300.0,5.0,0.0,188727.0,291368.0,0.0,0.0
73,a7e6485d-07b3-459c-8827-d7b9f3d81569,5bdce3e5-12f9-4aa9-b275-81bc8983fbb6,Fully Paid,65472.0,Short Term,746.0,376922.0,2 years,Own Home,Debt Consolidation,565.44,15.9,300.0,4.0,0.0,39330.0,89474.0,0.0,0.0
74,898e9058-a89b-4dba-ade8-9dc9e764687b,dac0f039-1a46-43d8-88c1-e3bb296e840f,Fully Paid,142912.0,Short Term,720.0,1832075.0,5 years,Rent,Educational Expenses,2793.95,18.0,0.0,7.0,0.0,215992.0,1078000.0,,0.0
75,e56daf77-66b9-4319-9e4f-2e4ba44fa3ce,df1f5a34-1cc4-4488-8687-64fe7b72998f,Fully Paid,310200.0,Short Term,702.0,931000.0,10+ years,Rent,Debt Consolidation,20637.23,11.3,300.0,7.0,0.0,319124.0,404712.0,0.0,0.0
77,8303d92e-f63e-42cb-8aab-65bcaed94a82,d233e8ce-f6c8-4002-8dca-4f50e0413721,Fully Paid,356994.0,Long Term,698.0,1059839.0,< 1 year,Own Home,Other,7286.5,20.6,11.0,8.0,0.0,123538.0,481646.0,0.0,0.0
78,d134f322-dc95-43ac-89de-b4280cb5129e,f297ad36-ca5c-47cb-b8bb-6387456acff0,Fully Paid,435160.0,Long Term,724.0,1174162.0,5 years,Own Home,Other,24929.52,12.7,32.0,12.0,0.0,238146.0,799238.0,0.0,0.0
80,003e5752-8eb0-42f2-a6fb-eb03b9f3ce7b,b63ce348-07a8-4e4d-a230-5e85690e7b0a,Fully Paid,45298.0,Short Term,745.0,558828.0,2 years,Home Mortgage,Debt Consolidation,3352.93,18.4,300.0,14.0,0.0,30153.0,895378.0,0.0,0.0
81,c3e42ca7-947e-4e86-9ffd-c5759ce62b94,76ee78be-2410-4faf-abb0-fd5e67a28dac,Charged Off,112530.0,Short Term,719.0,582825.0,6 years,Home Mortgage,Debt Consolidation,14376.16,10.0,300.0,6.0,0.0,37886.0,164274.0,0.0,0.0
82,a376d7c0-8e1e-48f0-8545-08f59e497324,93f30c71-d07b-4eac-8f5c-5d4b79e8f4c6,Fully Paid,99044.0,Short Term,704.0,836798.0,10+ years,Rent,Debt Consolidation,10599.34,11.4,300.0,9.0,1.0,67279.0,169334.0,1.0,0.0
83,47fb8e6a-5308-4d33-aa46-e7af5e199e4c,0eb77c96-ce90-4e3d-9f45-bb40ebc80af9,Charged Off,608234.0,Short Term,724.0,1174162.0,4 years,Home Mortgage,Business Loan,12494.59,28.7,300.0,14.0,0.0,166269.0,899668.0,0.0,0.0
86,1429baa7-457e-44de-992d-d3f1c7963d01,5f0fecc7-9f74-41af-8a1a-17a772f89658,Fully Paid,540386.0,Long Term,719.0,1269390.0,10+ years,Own Home,Home Improvements,21050.86,23.8,300.0,17.0,0.0,718105.0,1208570.0,0.0,0.0
88,4743e5e4-202e-495e-b5ce-8b0427a8b406,0420dfc4-0da3-47c0-9a84-57ad17b9dea6,Fully Paid,650562.0,Short Term,742.0,2322313.0,10+ years,Rent,Debt Consolidation,41801.52,22.9,300.0,23.0,0.0,444201.0,1028676.0,0.0,0.0
90,c1a2c1ac-87a9-46c0-8dba-97ddcb9b9126,061fd074-310e-4901-8b3a-afde2a1eb947,Fully Paid,462858.0,Long Term,719.0,911544.0,5 years,Rent,Debt Consolidation,18458.69,23.4,7.0,9.0,0.0,359081.0,655776.0,0.0,0.0
91,528361d5-3e90-4609-a758-4d34cab7a264,a3acbc15-3036-4867-abd9-5100c496babe,Fully Paid,32824.0,Short Term,743.0,604656.0,< 1 year,Rent,Other,5996.02,15.3,47.0,5.0,0.0,32737.0,83138.0,0.0,0.0
92,6f9677ee-10da-48cc-9a0c-9ec7f858b7e2,749aa15f-a6a7-4346-a161-0892ed4fae4e,Fully Paid,107866.0,Short Term,745.0,763895.0,< 1 year,Rent,Debt Consolidation,7575.11,12.0,300.0,18.0,0.0,61180.0,313478.0,0.0,0.0
93,469fa74f-8f5e-4210-829b-454b7e60b50a,2308a48d-6502-46a0-9c01-29ae28c8f138,Fully Paid,760452.0,Short Term,722.0,1632499.0,10+ years,Rent,Debt Consolidation,30609.38,11.6,25.0,7.0,0.0,347434.0,560296.0,0.0,0.0
94,964e8cda-ad11-44dd-aa4f-affbcb4e65c7,3f348ff1-f3a2-47c2-ae8d-bcfd9318de0b,Fully Paid,177254.0,Short Term,707.0,803662.0,7 years,Rent,Debt Consolidation,7520.96,12.5,54.0,10.0,0.0,68514.0,145860.0,0.0,0.0
95,17615fac-08b8-4869-a680-0679f8561c7a,35ff6e9f-a134-4622-adb1-e03f11ce7288,Charged Off,131824.0,Short Term,702.0,793687.0,1 year,Rent,Debt Consolidation,8995.17,9.5,300.0,15.0,0.0,367042.0,717904.0,0.0,0.0
96,0a07e209-fe6a-4009-ac1d-4a4e395e4cc1,f236ad61-19b6-4015-9ab7-466e53d7b230,Fully Paid,657052.0,Short Term,718.0,1182598.0,4 years,Home Mortgage,Debt Consolidation,13994.07,16.0,300.0,9.0,0.0,318402.0,496870.0,0.0,0.0
97,5acc1395-6809-42db-ba41-62f1f85b94ed,5589c56d-1633-4611-a263-ce7eabee61b8,Fully Paid,642664.0,Short Term,730.0,1110037.0,1 year,Rent,Debt Consolidation,25993.52,15.5,300.0,7.0,0.0,722646.0,910492.0,0.0,0.0
98,890d6f6e-1d71-4847-8ee4-560ad097347f,882cace8-bc45-4fc0-90bb-7d1e592893e3,Charged Off,355124.0,Short Term,724.0,1174162.0,10+ years,Home Mortgage,Business Loan,8309.84,22.8,300.0,12.0,0.0,107920.0,396704.0,0.0,0.0
99,e54243a5-5c9a-442c-a8e6-e2a26687d9f9,d862d3e1-39c5-4c27-ae0b-013d440d8bf2,Fully Paid,232694.0,Short Term,724.0,836589.0,< 1 year,Rent,Debt Consolidation,15407.1,12.9,300.0,10.0,0.0,238165.0,494230.0,0.0,0.0
101,55a00504-a957-4ebd-9834-1470d360d5db,37e628ce-0032-4304-b487-75a2b30fed38,Fully Paid,262856.0,Long Term,724.0,1174162.0,5 years,Home Mortgage,Business Loan,10103.25,18.7,300.0,7.0,1.0,120954.0,179542.0,1.0,0.0
102,bcfa0d70-6415-497a-8d81-33472a26b1d5,d3cb6f35-607e-4a6a-85b2-f09353d8b1c0,Fully Paid,71676.0,Short Term,724.0,1174162.0,< 1 year,Rent,Debt Consolidation,7931.74,8.1,300.0,10.0,0.0,34295.0,409442.0,0.0,0.0
103,5f30b633-a177-4cd1-8ae8-81ed2527285b,a2df5de5-f813-4e01-b02a-e0cf95b7e5ab,Charged Off,306768.0,Short Term,740.0,1797780.0,7 years,Own Home,Debt Consolidation,26217.72,17.0,34.0,18.0,0.0,251180.0,798996.0,0.0,0.0
104,b17d4708-8f51-4297-989f-e1c11563919d,7e30498f-0593-4e71-99ed-5fd7d06ea8a2,Fully Paid,316030.0,Long Term,692.0,1091759.0,3 years,Rent,Debt Consolidation,25747.09,12.0,300.0,9.0,0.0,502075.0,980364.0,0.0,0.0
105,d440525b-986e-4cd7-a62f-32c328cab94f,ff29f2b6-eb38-4334-9310-013ebd795653,Fully Paid,467764.0,Long Term,716.0,964155.0,1 year,Own Home,Debt Consolidation,21371.96,16.0,300.0,6.0,0.0,527915.0,879516.0,0.0,0.0
109,8d1401d5-55da-4076-89bc-8c77cde8079a,ea738916-38e1-4398-9384-9157dc139c74,Charged Off,246972.0,Long Term,724.0,1174162.0,10+ years,Rent,Debt Consolidation,20160.9,11.2,55.0,10.0,0.0,124393.0,276474.0,0.0,0.0
112,816badbc-db59-49d8-96f5-3713dc2e1fcb,76fedbe2-d39b-4880-9d1b-6aef495c9ebb,Fully Paid,631576.0,Short Term,709.0,1609832.0,3 years,Rent,Debt Consolidation,13549.47,9.5,22.0,13.0,0.0,175731.0,788700.0,0.0,0.0
113,fd073bae-56cf-4840-bee0-b5368333656d,c03e3015-b946-4a3e-b628-682c1da44d1a,Fully Paid,125356.0,Short Term,716.0,360886.0,0 years,Own Home,Debt Consolidation,10044.73,12.5,29.0,5.0,0.0,66937.0,79178.0,0.0,0.0
115,dd7261a8-33a7-481b-8807-a751755d2cf1,585d731c-c20a-41fe-9df6-394426c8c68b,Fully Paid,269456.0,Long Term,740.0,1648440.0,9 years,Home Mortgage,Debt Consolidation,29946.47,20.3,46.0,13.0,0.0,215327.0,1441176.0,0.0,0.0
119,fdc06182-95ea-4fb4-921a-d86a50f5db81,7988691d-e14c-47cb-8340-847107584b1c,Charged Off,554400.0,Long Term,724.0,1174162.0,10+ years,Home Mortgage,Debt Consolidation,14383.95,28.1,300.0,8.0,0.0,166782.0,854458.0,0.0,0.0
120,cad8e8d6-8c15-4808-984d-0507b89e6a61,13482586-976c-490a-8211-0b7a6df786ea,Fully Paid,178706.0,Short Term,724.0,1174162.0,3 years,Home Mortgage,Buy a Car,5802.22,10.0,300.0,12.0,0.0,5586.0,497266.0,0.0,0.0
121,161e7db7-127c-4472-b0e6-e832c926f8f1,e8137bb8-b7e5-4d1e-9ad1-4dfc7a0cb71d,Fully Paid,61842.0,Short Term,724.0,1174162.0,3 years,Rent,Take a Trip,13960.63,15.9,35.0,7.0,0.0,43396.0,101530.0,0.0,0.0
123,f6a764af-4059-472a-9e2d-48e0e8792ef2,9aebf489-acbf-4419-bb6e-496235403cc2,Fully Paid,134596.0,Short Term,742.0,1094647.0,4 years,Rent,Debt Consolidation,6896.24,10.6,300.0,4.0,0.0,300029.0,392546.0,0.0,0.0
125,cf84c954-aa3d-4dbb-9fff-990e8d311139,fef4876d-7222-48b2-82d2-910c12682f41,Fully Paid,756756.0,Long Term,724.0,1174162.0,10+ years,Rent,Debt Consolidation,35432.34,16.6,300.0,13.0,0.0,520923.0,858000.0,0.0,0.0
126,6f6c155b-9dd3-4fd6-a44f-9184bfcca4f7,6ea6da53-a4b3-4a89-a7ed-e4c3ffe24b06,Fully Paid,592350.0,Short Term,738.0,1504648.0,8 years,Home Mortgage,Debt Consolidation,13416.47,21.5,300.0,6.0,0.0,623428.0,1088780.0,0.0,0.0
127,7483c383-9894-45b6-a35d-bb94386a3f35,2e2c33d9-8414-4c49-8d6e-52eb8c51f20d,Fully Paid,56056.0,Short Term,740.0,929423.0,7 years,Home Mortgage,Debt Consolidation,23313.0,14.0,13.0,10.0,0.0,50255.0,148038.0,0.0,0.0
128,4564d47a-e023-4ecf-817d-fa9cf37c97c5,7dbd8885-0b20-41bc-bd31-01b62e859422,Fully Paid,405218.0,Long Term,695.0,1224892.0,8 years,Rent,Debt Consolidation,18067.1,8.1,300.0,11.0,0.0,272422.0,353650.0,0.0,0.0
130,47c3a5cd-8819-4186-b8f5-523f57254303,2a14b283-f19b-4f86-89f0-8ffcab5a55e2,Fully Paid,134354.0,Short Term,705.0,1059991.0,0 years,Home Mortgage,Other,8612.32,18.3,25.0,9.0,1.0,272194.0,521818.0,1.0,0.0
131,5b8c8c04-7b18-45c3-9cf3-242f49c3cce5,3f9060eb-cecd-4b75-9e0b-698d0987cec2,Fully Paid,181236.0,Short Term,745.0,470022.0,9 years,Own Home,Debt Consolidation,6462.66,15.9,300.0,15.0,0.0,129789.0,1147124.0,0.0,0.0
132,ec26ac14-7f10-4375-b423-34a56d5e6be7,e141c6ee-f9d2-400e-a503-dad78a004d8c,Fully Paid,78540.0,Short Term,694.0,644898.0,6 years,Rent,Debt Consolidation,6341.44,7.9,300.0,6.0,0.0,47272.0,74052.0,0.0,0.0
136,1e920fef-34c9-45cb-b8b0-7d50720e2661,fdb0aa7a-b7af-4c09-85c0-e11f29739764,Charged Off,183084.0,Short Term,724.0,1174162.0,7 years,Home Mortgage,Business Loan,20494.92,18.7,7.0,7.0,0.0,364192.0,445302.0,0.0,0.0
137,c4a24b54-d563-4f63-87e0-545b03140b4d,17c88853-b9da-4a56-9830-5239ba84d24b,Fully Paid,214786.0,Short Term,722.0,851751.0,9 years,Rent,Debt Consolidation,9937.19,13.8,300.0,7.0,0.0,102657.0,190806.0,0.0,0.0
138,9905ea12-8496-45da-a540-2d5b0cd6d8ca,baf49ba8-d849-4f2d-87da-e1fb29f5a2f6,Charged Off,379632.0,Long Term,738.0,829825.0,< 1 year,Home Mortgage,Home Improvements,21990.41,16.0,300.0,12.0,0.0,238868.0,970486.0,0.0,0.0
139,2a588744-275d-4650-a7c1-0d26da67017c,e5773517-c201-49e4-87c2-fe0deb140abe,Fully Paid,542586.0,Long Term,724.0,1174162.0,10+ years,Home Mortgage,Debt Consolidation,30153.57,18.5,300.0,19.0,0.0,546307.0,1084996.0,0.0,0.0
140,073ee550-b363-45e8-bd7f-f3cf5560932f,ec22a3f0-5226-4e40-afd9-f5a79c1372be,Fully Paid,140448.0,Short Term,707.0,682290.0,1 year,Rent,Debt Consolidation,14043.85,12.1,300.0,9.0,0.0,139916.0,182424.0,0.0,0.0
142,51986343-1800-466d-adf9-e89271b8caff,64c6b07b-c8d7-47a2-bd19-4a698e6d0863,Fully Paid,360052.0,Short Term,719.0,721582.0,10+ years,Home Mortgage,Debt Consolidation,13529.71,17.0,300.0,6.0,0.0,354730.0,416130.0,0.0,0.0
144,4027fffa-7362-4bac-91d5-ea5f6544eee6,b5374c0c-b0e7-4db9-aeab-3286f4324a4a,Fully Paid,653114.0,Long Term,739.0,1575480.0,4 years,Rent,Debt Consolidation,30852.96,16.0,300.0,12.0,0.0,340917.0,1041568.0,0.0,0.0
